trait_id,career_name,O,C,E,A,N
386, Lead Business Intelligence Data Analyst - BI Team Manager,0.67,0.87,0.35,0.68,0.21
387, Director of Business Intelligence,0.62,0.76,0.91,0.87,0.59
388, Business Solutions Analyst / Manager,0.81,0.8,0.42,0.65,0.22
389," Sr. Analyst, Market Intelligence",0.66,0.82,0.41,0.69,0.36
390,Sr. Business Intelligence Analyst,0.75,0.84,0.28,0.62,0.29
391,Business Intelligence Analyst II,0.67,0.79,0.37,0.7,0.4
392,"Test Analyst, Business Information Systems",0.84,0.88,0.33,0.68,0.36
393, O365 Messaging Architect,0.72,0.88,0.47,0.43,0.26
394, Cloud Architect,0.82,0.84,0.37,0.42,0.16
395,Backend Architect,0.7,0.97,0.35,0.45,0.21
396, IOT Architect,0.89,0.85,0.39,0.52,0.32
397,Cloud Management Architect,0.74,0.96,0.39,0.45,0.18
398,Architect (fullstack),0.72,0.95,0.4,0.44,0.3
399, Google Cloud Solutions Architect,0.85,0.83,0.42,0.38,0.3
400,Director,0.63,0.84,0.81,0.76,0.51
401, NextGen/Cloud Digital Performance Certification Delivery Leader,0.55,0.7,0.98,0.8,0.5
402,Cloud / AWS Architect,0.85,0.89,0.46,0.36,0.25
403," IT Director, Cloud and DevOps",0.51,0.66,0.98,0.78,0.56
404,Cloud Consultant,0.63,0.62,0.73,0.55,0.53
405, Marketing Specialist - All Levels,0.74,0.66,0.74,0.56,0.48
406,Architect,0.75,0.95,0.5,0.4,0.28
407,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",0.74,0.91,0.39,0.54,0.27
408,Salesforce/CRM - Cloud Applications Architect,0.77,0.82,0.33,0.4,0.2
409,Senior Cloud Solutions Architect,0.87,0.91,0.4,0.37,0.32
410,"Technical Editor, Google Cloud",0.69,0.56,0.69,0.66,0.42
411, Cloud IoT Architect,0.79,0.9,0.33,0.54,0.32
412,HBO Cloud Architect,0.83,0.89,0.38,0.48,0.26
413, Adobe Marketing Architect,0.71,0.9,0.46,0.44,0.16
414," Software Developer (All Levels) Dallas, TX Area",0.86,0.84,0.35,0.38,0.22
415, Professional Services Architect,0.85,0.9,0.34,0.53,0.33
416, Business Administrator,0.52,0.75,0.74,1.0,0.65
417," Director, Cloud Transformation",0.51,0.66,0.89,0.93,0.56
418,Cloud Architect - AWS,0.8,0.82,0.43,0.51,0.23
419, 3D Graphic Designer,0.96,0.64,0.59,0.7,0.41
420,Managing Delivery Architect - Solution Architect - Cloud Native,0.86,0.92,0.43,0.51,0.23
421, Architect (fullstack),0.88,0.91,0.33,0.49,0.31
422,"Strategic Architect, Professional Services",0.76,0.97,0.48,0.41,0.35
423,"Cloud Security Engineer/Architect (Office 365) | Remote, USA",0.73,0.84,0.34,0.53,0.28
424,Enterprise Architect,0.73,0.89,0.42,0.37,0.33
425, Technical Solutions Architect,0.86,0.9,0.49,0.43,0.35
426, Cybersecurity – Cloud Consulting,0.68,0.68,0.58,0.73,0.49
427, Software Architect,0.73,0.8,0.41,0.46,0.29
428," Solutions Architect, Google Cloud",0.88,0.82,0.45,0.39,0.32
429," Cloud Solution Architect, Director",0.86,0.91,0.44,0.41,0.24
430, Director of Scale for Customer Success (Intelligent Cloud),0.66,0.74,0.87,0.85,0.62
431,Oracle Sales Cloud Technical Architect,0.77,0.83,0.44,0.52,0.17
432, Cloud Engineer,0.75,0.83,0.37,0.44,0.3
433, Cloud Development Architect,0.83,0.92,0.37,0.52,0.24
434,Engineer,0.9,0.93,0.33,0.49,0.22
435, UC Helpdesk Level 1,0.69,0.56,0.58,0.72,0.45
436, Enterprise Architect,0.87,0.86,0.43,0.49,0.25
437, Accounts Payable Specialist,0.61,0.59,0.56,0.61,0.53
438,Student Internship - Architecture - Fall 2018,0.89,0.97,0.45,0.51,0.28
439,"Sitecore Architect, Chicago Digital Studio",0.75,0.98,0.43,0.46,0.17
440,Enterprise Cloud Sales rep,0.59,0.74,0.97,0.86,0.53
441,VP Cloud Operations,0.7,0.67,0.88,0.76,0.6
442, Architect,0.88,0.86,0.47,0.41,0.33
443, Solution Architect,0.85,0.96,0.3,0.54,0.3
444,Cloud Solution Architect,0.76,0.97,0.36,0.52,0.17
445,"Technical Account Manager, Google Cloud Professional Services",0.64,0.76,0.82,0.8,0.45
446,ATSV-Product Test Architect,0.79,0.86,0.42,0.41,0.21
447,Cloud Client Executive,0.7,0.56,0.73,0.72,0.53
448,Solution Architect,0.82,0.98,0.34,0.37,0.2
449,Oracle Cloud Financials Solutions Architect,0.86,0.81,0.42,0.55,0.32
450, Virtualization Architect,0.8,0.81,0.47,0.47,0.17
451,Exhibit Project Coordinator,0.57,0.73,0.68,0.72,0.58
452, Azure Cloud Architect Associate - Consumer Markets,0.81,0.9,0.39,0.41,0.24
453,Cloud Solution Architect - Advanced Analytics & AI,0.8,0.87,0.43,0.64,0.32
454, Integration Architect,0.83,0.92,0.44,0.4,0.25
455,AWS Cloud Infrastructure Architect,0.72,0.88,0.4,0.48,0.34
456,Cloud Development Intern,0.67,0.7,0.65,0.68,0.41
457,RVP Cloud Sales,0.55,0.72,0.89,0.76,0.48
458,Cloud Automation Architect,0.76,0.99,0.37,0.45,0.19
459,Magento Technical Architect,0.82,0.86,0.34,0.45,0.15
460, Architect (Gain Theory),0.65,0.79,0.26,0.57,0.27
461,"Technical Solutions Architect (Minneapolis, MN)",0.86,0.91,0.4,0.41,0.34
462, Cloud Integration Architect - US - San Francisco,0.78,0.82,0.42,0.37,0.22
463,Cloud Native Application Architect,0.8,0.97,0.4,0.49,0.35
464,Senior Integration Architect - Cloud/Middleware,0.73,0.85,0.38,0.43,0.23
465, Cloud Engineering Architect,0.88,0.94,0.42,0.41,0.31
466, Lead Cloud Architect,0.89,0.96,0.3,0.48,0.16
467, Solutions Architect (Sitecore/CMS),0.75,0.81,0.42,0.49,0.17
468, Cloud Solution Architect (Bilingual in Mandarin a plus),0.78,0.89,0.37,0.37,0.23
469,IT Coordinator,0.7,0.56,0.57,0.62,0.59
470,Google Cloud Solution Architect (REMOTE),0.83,0.94,0.37,0.47,0.15
471,Customer Success Architect,0.83,0.98,0.42,0.52,0.29
472," Associate Director, Cloud Security Advisory",0.52,0.83,0.81,0.86,0.48
473, Scrum Master (Los Angeles),0.55,0.63,0.61,0.65,0.52
474,RPA Architect,0.71,0.82,0.41,0.42,0.3
475,Server/Back-Up Architect - MDW,0.83,0.97,0.44,0.44,0.28
476,Solutions Architect,0.76,0.86,0.46,0.44,0.31
477, Architect - Network,0.86,0.97,0.48,0.44,0.21
478, Microservices Architect,0.82,0.87,0.42,0.49,0.29
479, Associate Solution Architect,0.77,0.83,0.39,0.38,0.33
480, Security Architect,0.77,0.83,0.31,0.48,0.28
481, Architect – Office 365/Enterprise Content Management,0.77,0.81,0.38,0.41,0.29
482,Cloud Architect,0.82,0.87,0.34,0.55,0.24
483, Cloud Infrastructure Architect,0.84,0.83,0.4,0.36,0.25
484, Cloud Security Architect,0.89,0.88,0.31,0.36,0.23
485,Oracle Cloud ERP Consultants,0.58,0.55,0.7,0.64,0.46
486,Sr Solution Architect,0.88,0.82,0.49,0.41,0.33
487,Chief Architect of APIs,0.82,0.97,0.5,0.41,0.34
488,Group Systems Architect,0.78,0.88,0.37,0.46,0.18
489,Channel Strategy Associate,0.46,0.81,0.8,0.97,0.59
490," Associate Director, Cloud Solutions Architect",0.76,0.85,0.34,0.36,0.22
491," Senior Associate, Cloud Enablement",0.4,0.89,0.76,0.87,0.62
492, Domain Architect - Public Markets,0.68,0.84,0.38,0.65,0.28
493, Cloud DevOps Engineer,0.9,0.98,0.42,0.46,0.27
494,"Solutions Architect, DevOps, Google Cloud",0.74,0.88,0.31,0.45,0.26
495, Systems Architect I,0.75,0.99,0.48,0.49,0.26
496,Enterprise Cloud Architect,0.87,0.83,0.46,0.37,0.31
497,AWS Cloud Engineer,0.76,0.98,0.49,0.38,0.24
498, Database Architect,0.85,0.85,0.42,0.67,0.28
499,Staff Data & Information Architect - Multiple Positions,0.71,0.79,0.4,0.63,0.3
500, S. Cal presaes - Solutions Architect Qubole,0.8,0.92,0.47,0.55,0.23
501," Solutions Architect, Enterprise Migrations, Google Cloud",0.87,0.95,0.41,0.54,0.19
502,BIC2 - Capabilities Management,0.57,0.72,0.64,0.72,0.58
503,Executive Business Administrator,0.36,0.88,0.74,0.9,0.63
504, Platform Solution Architect,0.89,0.8,0.4,0.49,0.29
505,Java Developer for Integration Services,0.84,0.83,0.36,0.42,0.31
506, Application Developer,0.76,0.84,0.49,0.35,0.35
507,Senior Software Developer - Web,0.84,0.97,0.36,0.35,0.3
508,Developer Relations Engineer,0.87,0.95,0.33,0.5,0.3
509,Software Developer - Performance Test,0.83,0.95,0.47,0.47,0.17
510,Full Stack Web/Mobile Developer,0.8,0.82,0.38,0.43,0.16
511,Application Developer III,0.77,0.82,0.46,0.54,0.16
512, Report Developer,0.89,0.9,0.36,0.37,0.25
513, Micro Services Developer,0.86,0.94,0.31,0.36,0.23
514, Multimedia Learning Developer,0.76,0.85,0.36,0.51,0.34
515, ISV Alliance Manager,0.58,0.83,0.86,0.85,0.5
516,QA Developer,0.83,1.0,0.42,0.42,0.28
517,MicroService Developer,0.72,0.98,0.4,0.44,0.27
518,Game Services Engineer,0.82,0.81,0.44,0.4,0.29
519,UCTG Solution Assurance - Software Developer,0.86,0.96,0.41,0.45,0.18
520," Business Process Analyst, Google Cloud Support",0.81,0.8,0.35,0.61,0.23
521,"Field Sales Manager, Google Cloud",0.63,0.66,0.95,0.81,0.45
522, Software Developer - Puppet,0.8,0.81,0.36,0.49,0.16
523, AWS IaaS Developer,0.87,0.8,0.35,0.5,0.21
524,Cloud Software Developer,0.72,0.87,0.35,0.52,0.21
525, Web Developer,0.86,0.98,0.39,0.53,0.23
526," Developer Programs Engineer, Cloud Platform",0.89,0.82,0.44,0.45,0.23
527,Developer Relations Manager - Financial Services,0.83,0.94,0.3,0.38,0.29
528, Cloud Developer Intern,0.83,0.99,0.45,0.54,0.29
529, Interactive Developer,0.76,0.82,0.46,0.48,0.16
530,ServiceNow Solutions Developer,0.77,0.99,0.4,0.44,0.24
531, PHP/JavaScript Developer,0.74,0.87,0.37,0.36,0.3
532,"Developer, Cloud Technology",0.78,0.96,0.47,0.39,0.28
533,Azure Developer,0.79,0.98,0.34,0.49,0.27
534,Developer - IT,0.76,0.83,0.43,0.5,0.21
535,Sitecore Developer,0.83,0.88,0.44,0.39,0.33
536, Developer M2M,0.76,0.87,0.31,0.37,0.25
537, Software Developer - Tracer,0.75,0.97,0.3,0.43,0.22
538,Cloud Systems Engineer - 2nd Shift,0.7,0.82,0.38,0.45,0.23
539,Infrastructure Developer- SRE,0.81,0.92,0.3,0.44,0.34
540, Software Engineer - I Cloud/Microservices,0.8,0.94,0.36,0.5,0.3
541,Software Developer 3,0.8,1.0,0.33,0.35,0.3
542,"SAP Cloud Consultant, Google Cloud Professional Services",0.71,0.57,0.6,0.55,0.46
543,Developer Application Services,0.85,0.9,0.37,0.42,0.15
544,Salesforce Developer,0.76,0.93,0.49,0.52,0.15
545, Cognos Developer,0.88,0.96,0.46,0.44,0.23
546, Web Designer/Developer,0.76,0.81,0.35,0.4,0.25
547, Content Developer 2,0.85,0.89,0.31,0.54,0.34
548,Web Developer,0.86,1.0,0.41,0.54,0.17
549,"G Suite Strategic Cloud Engineer, Google Professional Services",0.77,0.85,0.34,0.38,0.27
550,Cloud Integration Developer,0.86,0.92,0.33,0.51,0.28
551, Tier 1 Customer Support - Call Center - San Francisco,0.43,0.83,0.7,0.87,0.68
552,Junior Software Developer,0.76,0.89,0.48,0.49,0.16
553,Junior Full Stack Developer,0.73,0.8,0.43,0.44,0.18
554,Cloud Web Developer,0.89,0.91,0.35,0.45,0.29
555, Training Content Developer,0.67,0.8,0.41,0.64,0.31
556,VIE - CLOUD Developer - Boston - H/F,0.79,0.81,0.33,0.44,0.19
557,"Principal Implementation Engineer, Java Developer, Remote (Services)",0.71,0.97,0.5,0.51,0.32
558,Front End Developer,0.75,0.99,0.34,0.54,0.35
559,Microsoft MIM Developer - open to location / remote permitted,0.84,1.0,0.41,0.4,0.24
560,"Analyst, MRM//McCann",0.77,0.76,0.37,0.75,0.24
561,Application Developer with Cloud,0.86,0.98,0.49,0.54,0.25
562, Software Developer Intern,0.9,0.95,0.33,0.45,0.29
563, Information Developer,0.75,0.93,0.43,0.38,0.26
564, Front End Developer,0.85,0.9,0.3,0.35,0.22
565,SAPUI5 & Fiori Developer,0.89,0.85,0.43,0.39,0.21
566, Web Developer - Marketing,0.87,0.95,0.32,0.44,0.16
567,Java Developer,0.8,0.93,0.32,0.41,0.23
568, Software Developer,0.88,1.0,0.31,0.5,0.22
569,"Inside Sales and Customer Growth Manager, Google Cloud",0.58,0.8,0.98,0.94,0.57
570,"Developer, Cloud Architecture/Dev Ops",0.77,0.96,0.35,0.46,0.22
571,Infrastructure Developer,0.83,0.85,0.34,0.53,0.17
572, Sr Software Developer-Java,0.8,0.84,0.31,0.36,0.19
573, Developer - Entry Level,0.87,0.86,0.49,0.47,0.24
574, IT ETL Developer,0.82,0.9,0.45,0.41,0.22
575,Cloud Software Developer - WebEx Meetings Microservices,0.88,0.99,0.48,0.43,0.31
576, MDM Developer,0.8,0.9,0.34,0.47,0.19
577, RPA Developer,0.77,0.97,0.34,0.36,0.16
578, UI Developer,0.89,0.9,0.38,0.51,0.32
579, ServiceNow Developer,0.77,0.94,0.45,0.48,0.18
580, Developer III,0.88,0.91,0.36,0.44,0.16
581," Principal Implementation Engineer, Java Developer, Remote (Services)",0.73,0.95,0.3,0.43,0.25
582,"CRM Portal UX Consultant / Developer - - Phoenix, AZ",0.71,0.99,0.35,0.41,0.21
583, Professional Services Engineer,0.75,0.8,0.45,0.54,0.19
584, Full Stack Developer,0.83,0.95,0.47,0.43,0.21
585,Client Engagement Professional (Boston),0.62,0.69,0.71,0.59,0.47
586," Technical Account Manager, Cloud Data Services, Google Cloud",0.83,0.91,0.45,0.7,0.28
587," Software Engineering Intern, BS, Winter 2019",0.82,0.93,0.32,0.46,0.29
588," G Suite Strategic Cloud Engineer, Google Professional Services",0.73,0.96,0.42,0.54,0.16
589,Developer - Intermediate level,0.75,0.92,0.36,0.49,0.3
590,"Developer Programs Engineer, Cloud Platform",0.72,0.9,0.4,0.42,0.34
591,OpenStack Private Cloud Developer - Mid-level,0.87,0.94,0.44,0.44,0.33
592,Unity Developer,0.84,0.95,0.47,0.4,0.31
593, Backend Programmer,0.74,0.87,0.37,0.55,0.32
594, Sr. Full Stack Developer,0.84,0.95,0.41,0.54,0.25
595, Office 365 Administrator Developer,0.78,0.83,0.46,0.5,0.23
596," Technical Account Manager, Google Cloud",0.51,0.82,0.8,0.89,0.64
597, Salesforce Developer,0.79,0.85,0.44,0.51,0.26
598, Tier 1 Customer Support - Call Center - San Jose,0.54,0.71,0.75,0.94,0.67
599, React Software Engineer,0.74,0.96,0.41,0.43,0.18
600," Sales Engineer, AdTech, Google Cloud",0.87,0.83,0.36,0.41,0.32
601,Forward Deployed Engineer,0.83,0.96,0.35,0.47,0.26
602, Hadoop Developer,0.87,0.98,0.3,0.48,0.16
603,"Chrome Browser Customer Engineer, Google Cloud",0.81,0.86,0.36,0.42,0.27
604, Regional Cloud Developer Advocate,0.77,0.95,0.38,0.36,0.31
605, GIS Developer,0.76,0.89,0.44,0.42,0.16
606, Cloud Services Engineer (DevOps),0.77,0.99,0.43,0.48,0.28
607," Software Solutions Engineer, Professional Services, Google Cloud",0.74,0.88,0.45,0.37,0.21
608,"Technical Account Manager, Financial Services, Google Cloud",0.56,0.74,1.0,0.76,0.55
609,"Software Engineer, Camera Cloud Services, Nest",0.74,0.99,0.32,0.43,0.3
610, Cloud Software Engineer,0.84,0.88,0.37,0.43,0.2
611," Software Program Manager, Cloud Services",0.54,0.75,0.85,0.81,0.58
612, Salesforce Marketing Cloud Developer,0.89,0.92,0.32,0.37,0.34
613, Junior Financial Data Analyst,0.71,0.77,0.37,0.67,0.33
614,Global Strategy Competitive Analysis Analyst,0.7,0.75,0.44,0.6,0.34
615, Data Analyst (226 Days),0.79,0.87,0.31,0.6,0.32
616,Data Analyst Intern,0.82,0.94,0.27,0.58,0.39
617, Quality and Patient Safety Data Analyst,0.8,0.93,0.29,0.67,0.34
618,"Analyst, Data",0.79,0.83,0.25,0.67,0.25
619,Administrative Analyst I,0.74,0.94,0.33,0.72,0.24
620, Bike Share Data Analyst,0.78,0.95,0.27,0.55,0.29
621, Data Analyst (SY18-19),0.67,0.9,0.43,0.64,0.25
622, Data Analyst,0.74,0.89,0.25,0.67,0.32
623,"Data Analyst, Digital Gaming",0.78,0.8,0.39,0.57,0.24
624, Junior Medical Data Analyst,0.83,0.9,0.25,0.6,0.24
625,Business Data Analyst,0.7,0.8,0.26,0.64,0.35
626, Marketing Data Analyst,0.77,0.88,0.27,0.74,0.37
627, Data Analyst Sr.,0.81,0.91,0.44,0.66,0.24
628,Data Conversion Analyst - Zuercher,0.77,0.9,0.4,0.65,0.21
629,Customer Data Analyst,0.72,0.93,0.37,0.66,0.25
630,Inventory Data Analyst,0.72,0.93,0.38,0.71,0.29
631, Staff Data Analyst - Tech,0.78,0.8,0.39,0.64,0.29
632, Energy Data Analyst,0.78,0.94,0.26,0.71,0.26
633, Supply Chain Data Analyst,0.74,0.75,0.31,0.65,0.21
634, Grievance and Appeals Data Analyst,0.75,0.94,0.27,0.7,0.28
635, Data Analyst 1- Marketing Operations,0.78,0.8,0.28,0.58,0.21
636,Atmospheric Data Analyst,0.69,0.88,0.43,0.71,0.34
637," Clinic Data Analyst - Work at home, Mountain or Pacific Time",0.67,0.81,0.31,0.6,0.3
638,"Analyst, Data Informatics 2",0.76,0.82,0.32,0.72,0.36
639, STAFF ANALYST,0.71,0.93,0.44,0.62,0.27
640," Data Center Support Analyst I, II, III, Senior",0.75,0.94,0.43,0.57,0.28
641,Healthcare Data Analyst,0.76,0.85,0.29,0.72,0.34
642,Sr. Data Analyst,0.82,0.92,0.4,0.64,0.32
643, Rating & Underwriting Analyst I,0.68,0.88,0.29,0.69,0.25
644,Analyst - Maritime,0.67,0.78,0.25,0.69,0.35
645, Data Procurement Analyst,0.75,0.78,0.27,0.55,0.23
646,"Game Data Analyst, Monetization",0.83,0.8,0.32,0.57,0.24
647, Central Procurement Office Data Analyst,0.75,0.87,0.3,0.56,0.28
648, Sr. Data Analyst,0.7,0.79,0.44,0.67,0.31
649,Sales Analyst,0.73,0.84,0.36,0.69,0.34
650,Data Analytics Analyst,0.68,0.85,0.33,0.72,0.33
651, Risk Data Analyst,0.76,0.77,0.37,0.57,0.27
652, Data Analyst I,0.68,0.89,0.29,0.63,0.38
653,Strategic Data Analyst,0.69,0.85,0.33,0.55,0.36
654, Research Data Analyst,0.66,0.84,0.36,0.68,0.34
655," Product Analyst, Data Science",0.7,0.75,0.39,0.66,0.37
656,Senior Data Analyst,0.81,0.92,0.35,0.62,0.36
657,ENROLLMENT & DATA SERVICES ANALYST 1,0.74,0.79,0.42,0.73,0.29
658, Program Data Analyst,0.67,0.83,0.41,0.73,0.24
659,"Data Analyst, Spam Operations",0.66,0.93,0.33,0.66,0.39
660,HIV Svc Data Systems Analyst,0.66,0.88,0.26,0.63,0.36
661,Utility Account Analyst,0.74,0.95,0.36,0.61,0.24
662,Data Analyst - Supply Chain,0.72,0.82,0.26,0.62,0.29
663, Applications Analyst I - Data Warehousing,0.79,0.88,0.39,0.55,0.24
664, Data Management Analyst,0.78,0.85,0.25,0.71,0.35
665, Entry Level Analyst,0.76,0.76,0.4,0.67,0.36
666, Data Extraction Analyst,0.8,0.91,0.35,0.58,0.33
667,Data Analyst IV,0.77,0.9,0.28,0.59,0.38
668, Improvement Data Analyst,0.8,0.93,0.4,0.67,0.33
669, Survey Data Analyst,0.83,0.87,0.38,0.58,0.29
670, Data Reporting Analyst,0.79,0.8,0.29,0.61,0.25
671,DATA ANALYST,0.69,0.83,0.43,0.65,0.24
672,Basketball Data Analyst,0.67,0.89,0.33,0.71,0.33
673," Google Benefits Specialist, Wellness",0.71,0.6,0.69,0.6,0.59
674," Collateral Analyst, Jr.",0.78,0.81,0.3,0.59,0.34
675,"Data Analyst, Research 8hrs/12mo - AI1819",0.69,0.87,0.3,0.68,0.36
676, Data Insight Analyst,0.81,0.9,0.29,0.57,0.34
677,Procurement Data Analyst,0.72,0.84,0.26,0.6,0.21
678,Data Science Analyst - Webex Teams,0.83,0.8,0.36,0.56,0.33
679, Employee Benefits Data Analyst,0.71,0.93,0.43,0.62,0.38
680, Geo Data Analyst,0.85,0.92,0.42,0.6,0.32
681, Database Analyst Intern,0.66,0.77,0.45,0.62,0.35
682," Clinical Data Analyst, Quality Assurance Abstracting",0.81,0.92,0.45,0.6,0.21
683, SQL Data Analyst,0.73,0.78,0.25,0.62,0.36
684, Provider Network Data Analyst,0.76,0.81,0.38,0.6,0.2
685,Data Analyst II,0.8,0.87,0.4,0.56,0.37
686,Quality Improvement Data Analyst,0.77,0.86,0.37,0.72,0.32
687, DATA ANALYST,0.77,0.95,0.4,0.64,0.34
688, Administrative Assistant/Data Analyst III,0.73,0.8,0.37,0.74,0.39
689, Junior Data Analyst,0.72,0.86,0.29,0.75,0.4
690,Data Analyst - SCPA Administration,0.78,0.91,0.39,0.67,0.21
691," Analyst, Data",0.74,0.88,0.39,0.62,0.39
692," Risk Analyst, Investigations",0.68,0.85,0.39,0.69,0.33
693,Compensation Analyst,0.71,0.78,0.38,0.67,0.24
694, Data and Research Analyst,0.79,0.84,0.38,0.72,0.23
695,Junior Data Analyst,0.65,0.91,0.37,0.69,0.37
696," Data Analyst, JetSuite X",0.81,0.94,0.36,0.65,0.28
697," Data Analyst, Intermediate",0.68,0.86,0.31,0.73,0.32
698,Invoice Processing/Data Analyst,0.77,0.82,0.26,0.56,0.28
699, Media Analyst - Gain Theory,0.67,0.87,0.43,0.73,0.33
700,Quality Analyst - Minneapolis,0.69,0.92,0.43,0.59,0.35
701,Data Architect III,0.71,0.91,0.45,0.56,0.38
702,INFORMATION / DATA ARCHITECT,0.77,0.94,0.34,0.72,0.21
703,Software Architect – Data Center Networking,0.72,0.76,0.45,0.71,0.37
704,Software/Data Architect,0.84,0.77,0.33,0.56,0.24
705,Data Architect,0.7,0.84,0.3,0.57,0.23
706,Business Data and Integration Architect (ITS5),0.68,0.94,0.4,0.74,0.29
707,BI Solution Architect,0.76,0.96,0.37,0.41,0.2
708, Enterprise Quality Architect,0.73,0.85,0.37,0.48,0.16
709, Recruiting Associate,0.84,0.61,0.58,0.67,0.52
710,"Director, Data Center",0.68,0.77,0.35,0.61,0.31
711,Big Data Solution Architect,0.81,0.78,0.37,0.65,0.23
712, Business Data Architect,0.77,0.8,0.35,0.57,0.29
713,Senior Enterprise Data Architect,0.71,0.91,0.26,0.63,0.29
714, Clinical Data Specialist,0.8,0.86,0.38,0.71,0.37
715," Chief Architect, Data Architect",0.71,0.86,0.42,0.75,0.38
716, Architect I,0.77,0.84,0.4,0.5,0.25
717, Data Architect,0.75,0.92,0.32,0.72,0.28
718, Android Architect,0.77,0.89,0.45,0.38,0.19
719,Principle Enterprise Data Architect,0.84,0.79,0.36,0.67,0.3
720,Technical Data Analyst,0.78,0.8,0.36,0.62,0.33
721,Data Solutions Architect,0.68,0.86,0.29,0.61,0.24
722,Data Architect & ETL Manager,0.69,0.92,0.31,0.74,0.39
723," Director, Analytics & Data Operations",0.76,0.78,0.32,0.71,0.27
724, Salesforce Data Architect,0.67,0.86,0.42,0.71,0.24
725, Software and Data Pipeline Architect,0.78,0.79,0.29,0.72,0.25
726,Data Architect - Information Management & Analytics,0.7,0.75,0.42,0.71,0.33
727," Software Architect - C, MSSQL, Architectural Leadership - Work from Home",0.85,0.83,0.39,0.42,0.17
728, Telecom Software Architect - Data Networks,0.75,0.93,0.26,0.61,0.24
729, Data Architect Technical Lead,0.7,0.93,0.34,0.64,0.35
730, Principal Business Intelligence Data Architect,0.68,0.85,0.34,0.67,0.4
731,Solution Architect Big Data,0.8,0.83,0.42,0.58,0.21
732,Big Data Solutions Architect (Central Region),0.69,0.82,0.35,0.67,0.38
733,Data Curation Architect,0.75,0.85,0.26,0.56,0.31
734,Technology Expert I - Data Architect,0.74,0.92,0.28,0.55,0.29
735," Coordinator, Customer Portal (REMOTE)",0.6,0.56,0.69,0.57,0.52
736,Americans with Disabilities Act Coordinator,0.61,0.58,0.63,0.71,0.48
737, IT Architect I/II,0.85,0.83,0.45,0.4,0.29
738, Big Data Architect,0.76,0.94,0.33,0.56,0.2
739,Principal Business Intelligence Data Architect,0.82,0.85,0.41,0.6,0.27
740,Implementation Architect,0.71,0.99,0.43,0.54,0.2
741, Plans Examiner- Development Services,0.67,0.69,0.61,0.72,0.59
742,Investigator 1-3 In-Training –Regulatory Board Services,0.83,0.9,0.31,0.61,0.39
743, Big Data Solution Architect _WB,0.65,0.89,0.39,0.67,0.4
744, Chief Data Scientist Solution Architect - Virtual / Texas Job,0.71,0.82,0.27,0.64,0.25
745, Project Architect,0.77,0.97,0.49,0.39,0.22
746,Modern Data Platform Architect,0.84,0.76,0.27,0.58,0.32
747, Enterprise Architect (Agile/ TOGAF/PMO),0.73,0.99,0.39,0.45,0.2
748, Data Analyst / Reports Developer,0.74,0.88,0.4,0.7,0.32
749,Data Warehouse/Business Intelligence,0.83,0.91,0.4,0.56,0.2
750,WD-BIM/Revit Designer,0.84,0.58,0.63,0.68,0.53
751, Solutions Architect,0.88,0.98,0.36,0.49,0.2
752, Enterprise Data Architect,0.69,0.79,0.32,0.64,0.37
753, Data Center Systems Architect,0.67,0.9,0.36,0.61,0.3
754,Enterprise Data Architect,0.71,0.87,0.34,0.58,0.22
755,"BIS - Data Architect - Regional Locations (Dewitt, Oneonta, Canton, Olean,
Jermyn or Burlington)",0.76,0.93,0.32,0.7,0.33
756,Move In Coordinator,0.74,0.71,0.66,0.68,0.58
757, Data Center Architect,0.73,0.82,0.25,0.72,0.36
758, Marketing Data Architect,0.67,0.87,0.34,0.57,0.4
759,Science and Healthcare Data Architect,0.69,0.76,0.37,0.7,0.21
760,Human Factors Specialist,0.68,0.66,0.57,0.58,0.51
761," Sr Architect, Business",0.76,0.99,0.46,0.55,0.2
762, Service Development Architect-Allstream,0.89,0.89,0.37,0.36,0.16
763, Data Solution Architect,0.79,0.84,0.3,0.67,0.25
764,"Data Senior Architect (Mount Olive, NJ or Chicago, IL)",0.77,0.82,0.41,0.71,0.3
765, Landscape Architect II,0.77,0.87,0.46,0.42,0.19
766,Sr Staff Data & Information Architect,0.67,0.84,0.35,0.72,0.24
767,RPHL00014,0.63,0.71,0.71,0.63,0.49
768,Technical Domain Architect,0.71,0.94,0.27,0.74,0.34
769, Data Modeler,0.76,0.76,0.35,0.63,0.23
770, Debug Architect,0.83,0.99,0.41,0.49,0.16
771, RPA Architect,0.78,0.82,0.42,0.54,0.28
772,Big Data Technical Architect,0.67,0.82,0.36,0.63,0.37
773,Application Architect,0.86,0.92,0.37,0.4,0.17
774,MSBI - ETL Architect - ETL Designer,0.77,0.88,0.44,0.48,0.16
775,Brighter - Digital Analytics Data Analyst,0.73,0.79,0.28,0.72,0.21
776,Starts Coordinator,0.88,0.48,0.73,0.71,0.4
777, EPM Architect,0.8,0.95,0.49,0.39,0.33
778, Office 365 Architect,0.89,0.98,0.43,0.48,0.23
779, Mid-level Data Technologist - Big Data,0.8,0.86,0.39,0.64,0.35
780, Solution Architect ~ Data / BI COE,0.81,0.78,0.42,0.66,0.37
781, Silicon Performance Architect,0.79,0.88,0.48,0.4,0.32
782, Data Architect/Engineer,0.75,0.85,0.31,0.66,0.27
783," Principal Architect, Data Platforms",0.66,0.8,0.25,0.75,0.39
