skill_id,skill_name,category,proficiency_levels,related_careers,demand_level
2073,building and testing trading systems,Domain Skill,Beginner, Quantitative researcher,0.52
2074,building apis,Domain Skill,Beginner, Lead Data Engineer,0.57
2075,building apis and libraries for java or python,Hard Skill,Expert, Sr. Machine Learning Engineer,0.85
2076,building apis and services,Domain Skill,Intermediate,Infrastructure Developer,0.59
2077,building codes knowledge,Domain Skill,Intermediate, Architectural Intern,0.47
2078,building construction knowledge,Domain Skill,Intermediate,Building Consultant,0.45
2079,building dashboards/visualizations,Domain Skill,Beginner,Data Analyst Intern,0.47
2080,building data pipelines,Domain Skill,Beginner, Data Engineer - Alexa Information Experience,0.56
2081,building data products,Domain Skill,Intermediate,"Director, Data & Analytics",0.47
2082,building machine learning models,Hard Skill,Intermediate,Machine Learning Sr. Software Engineer,0.98
2083,building maintenance,Domain Skill,Intermediate," Director of Facilities, Maintenance Worker 056010",0.54
2084,building management,Soft Skill,Intermediate, Operations Coordinator,0.76
2085,building management system (bms) programs,Soft Skill,Intermediate, Data Center Facility Operations Chemical Engineer,0.65
2086,building materials knowledge,Domain Skill,Intermediate, Project Architect,0.41
2087,building migrations in postgresql,Hard Skill,Expert, Data Engineer,0.71
2088,building permit submittal set preparation,Domain Skill,Beginner, Project Architect,0.51
2089,building predictive models,Domain Skill,Intermediate,"DATA SCIENTIST,  Data Scientist",0.47
2090,building proof of concept environments,Domain Skill,Beginner,"Chrome Browser Customer Engineer, Google Cloud",0.48
2091,building reports,Domain Skill,Intermediate, Salesforce Data Architect,0.5
2092,building restful apis,Domain Skill,Beginner,Data Engineer (Python),0.55
2093,building solutions,Domain Skill,Beginner, Data Analyst,0.55
2094,building stories and coordination of epics,Domain Skill,Beginner, Business Analyst 2571,0.55
2095,building systems evaluation,Domain Skill,Intermediate, Real Estate Engineer / Architect,0.5
2096,building test plans,Domain Skill,Beginner,"Technical Quality Specialist, WhatsApp Product Operations",0.56
2097,building up,Domain Skill,Beginner, Technical Trainee,0.4
2098,building web applications,Domain Skill,Beginner, Full Stack Engineer,0.4
2099,building web services and integrating with 3rd parties,Domain Skill,Intermediate, Sr. Machine Learning Engineer,0.42
2100,building wiring harnesses,Domain Skill,Intermediate,Research Engineer,0.54
2101,burp suite,Domain Skill,Beginner, Security Analyst,0.41
2102,burp suite pro,Domain Skill,Beginner,Senior Cyber Security Analyst,0.44
2103,business,Domain Skill,Beginner, Associate – Workplace Analytics Customer Solutions,0.41
2104,business & data analysis,Hard Skill,Intermediate, MDM Developer,0.79
2105,business / product valuation,Domain Skill,Beginner, FP&A Business Analyst-North America Crop,0.58
2106,business acumen,Domain Skill,Intermediate,"Data Engineer(s),  Consultant - Analytics Consulting,  People Analytics Manager,  Sr. Product Manager, Data & Analytics (Walmart Mexico),  Enterprise Data Analytics BI Project Manager,  Account Executive, Business Initiatives Consultant 1, Vice President, Consulting Services,  Partner Operations Manager, Google Technical Services",0.6
2107,business acumen,Domain Skill,Intermediate,"Data Engineer(s),  Consultant - Analytics Consulting,  People Analytics Manager,  Sr. Product Manager, Data & Analytics (Walmart Mexico),  Enterprise Data Analytics BI Project Manager,  Account Executive, Business Initiatives Consultant 1, Vice President, Consulting Services,  Partner Operations Manager, Google Technical Services",0.5
2108,business administration,Domain Skill,Intermediate," Master Data Systems Specialist Principal – PSJH, Compensation Analyst",0.51
2109,business analyses body of knowledge (babok),Domain Skill,Intermediate,BUSINESS ANALYST,0.43
2110,business analysis,Domain Skill,Intermediate," Sr FP&A Analyst, Business Ops & Planning, Product Engineer (Web Applications),  Business Analyst - TMMIS,  Business Analyst 1 - BA, eCommerce Business Analyst,  Investment Business Analyst,  Guidewire Business Analyst,  BUSINESS ANALYST - METRICS & REPORTING,  Business Analyst, Business Analyst, In-bound & Out-bound Mail Services,  Business Analyst III, Business Analyst JN -082018-41393, Business Strategy Analyst VIE (H/F),  Sr Analyst Business Analysis - Sales Analytics, Senior Business Analyst, Business Intelligence Analyst, Operational Intelligence Analyst, Senior IT Business Analyst - Human Resources, Master Data Business Analyst, Financial Analyst (FP &A),  Sr. Business Analyst - Ariba, AVP,  Business Systems Analyst 2,  FP&A Business Analyst-North America Crop,  Scrum Master (Los Angeles), RPA Architect, Oracle Cloud ERP Consultants,  Domain Architect - Public Markets,  Data and Research Analyst,  Enterprise Architect (Agile/ TOGAF/PMO),  RPA Architect, Data Warehouse/Analytics Architect-Houston Location,  Systems Manager - Lynch School, Data Analyst Lead - Greenplum Administrator, Data Solutions Designer (App Sys Eng 6), Data Integration Analyst,  Sr. Manager, Business Data Analytics, HR Business Analytics Manager,  Senior Manager, Data Analytics & Reporting, Manager, Contract and Program Services, associate strategy manager, Testing Analytics- Seattle, WA,  Enterprise Data Analytics BI Project Manager,  Technology Early Career Development Program (TECDP) Co-Op, CC - Consultant - CPR - New York,  Application Developer Analyst,  Field Consultant-Neuroscience-New England, Product Management Consultant - IT,  IT Business Consultant,  Senior IT Consultant, IT Systems Administrator,  Management and Program Analyst, Information Technology Associate Analyst,  SOFTWARE SERVICES ANALYST, Student Employee - MIS / Information Technology,  GDI&A Ford College Graduate Program - Former Interns Only,  Senior Solutions Architect,  IT Solutions Architect, Risk Analyst - Social Media, Program Integration Manager",0.57
2111,business analysis,Domain Skill,Intermediate," Sr FP&A Analyst, Business Ops & Planning, Product Engineer (Web Applications),  Business Analyst - TMMIS,  Business Analyst 1 - BA, eCommerce Business Analyst,  Investment Business Analyst,  Guidewire Business Analyst,  BUSINESS ANALYST - METRICS & REPORTING,  Business Analyst, Business Analyst, In-bound & Out-bound Mail Services,  Business Analyst III, Business Analyst JN -082018-41393, Business Strategy Analyst VIE (H/F),  Sr Analyst Business Analysis - Sales Analytics, Senior Business Analyst, Business Intelligence Analyst, Operational Intelligence Analyst, Senior IT Business Analyst - Human Resources, Master Data Business Analyst, Financial Analyst (FP &A),  Sr. Business Analyst - Ariba, AVP,  Business Systems Analyst 2,  FP&A Business Analyst-North America Crop,  Scrum Master (Los Angeles), RPA Architect, Oracle Cloud ERP Consultants,  Domain Architect - Public Markets,  Data and Research Analyst,  Enterprise Architect (Agile/ TOGAF/PMO),  RPA Architect, Data Warehouse/Analytics Architect-Houston Location,  Systems Manager - Lynch School, Data Analyst Lead - Greenplum Administrator, Data Solutions Designer (App Sys Eng 6), Data Integration Analyst,  Sr. Manager, Business Data Analytics, HR Business Analytics Manager,  Senior Manager, Data Analytics & Reporting, Manager, Contract and Program Services, associate strategy manager, Testing Analytics- Seattle, WA,  Enterprise Data Analytics BI Project Manager,  Technology Early Career Development Program (TECDP) Co-Op, CC - Consultant - CPR - New York,  Application Developer Analyst,  Field Consultant-Neuroscience-New England, Product Management Consultant - IT,  IT Business Consultant,  Senior IT Consultant, IT Systems Administrator,  Management and Program Analyst, Information Technology Associate Analyst,  SOFTWARE SERVICES ANALYST, Student Employee - MIS / Information Technology,  GDI&A Ford College Graduate Program - Former Interns Only,  Senior Solutions Architect,  IT Solutions Architect, Risk Analyst - Social Media, Program Integration Manager",0.41
2112,business analysis techniques,Domain Skill,Intermediate,"business analyst,  Business Systems Analyst 1, Business Data and Integration Architect (ITS5)",0.45
2113,business analysis techniques,Domain Skill,Intermediate,"business analyst,  Business Systems Analyst 1, Business Data and Integration Architect (ITS5)",0.46
2114,business analysis.,Domain Skill,Beginner, Senior Business Intelligence Reporting Analyst,0.46
2115,business analysis/reporting tools (sap bi,Domain Skill,Beginner,Customer Service Business Analyst II,0.6
2116,business analytic tools (power bi,Hard Skill,Intermediate, Solution Architect,0.77
2117,business analytical skills,Domain Skill,Intermediate,PLM/Teamcenter Developer,0.51
2118,business analytics,Domain Skill,Intermediate," Associate, Big Data Software Engineer,  Business Analyst,  Data Solution Architect,  IT Architect- Big Data, Director, Business Process & Quality Programs,  IT Business Analytics & Data Warehousing - Officer Level, Manager of Business Analytics – Dodger Stadium, Sales Representative-Philadelphia Neuroscience Primary Care, senior full stack developer, Starbucks Technology - Seattle, Wa, senior full stack engineer, Starbuckls Technology - Seattle, WA, Process Improvement Consultant, Secret Clearance, Bremerton WA, Solutions Architect",0.48
2119,business analytics,Domain Skill,Beginner," Associate, Big Data Software Engineer,  Business Analyst,  Data Solution Architect,  IT Architect- Big Data, Director, Business Process & Quality Programs,  IT Business Analytics & Data Warehousing - Officer Level, Manager of Business Analytics – Dodger Stadium, Sales Representative-Philadelphia Neuroscience Primary Care, senior full stack developer, Starbucks Technology - Seattle, Wa, senior full stack engineer, Starbuckls Technology - Seattle, WA, Process Improvement Consultant, Secret Clearance, Bremerton WA, Solutions Architect",0.47
2120,business and industrial networking equipment knowledge,Hard Skill,Expert,Business & Industrial Network Engineer,0.76
2121,business and it strategy,Domain Skill,Beginner, Enterprise Architect,0.53
2122,business application design,Domain Skill,Intermediate,Principle Enterprise Data Architect,0.45
2123,business applications,Domain Skill,Intermediate," Product Support Representative, Digital Forensics and eDiscovery Senior Associate,  Solutions Architect, Enterprise Migrations, Google Cloud,  Systems Administrator",0.55
2124,business applications knowledge,Domain Skill,Beginner, Sr Software Developer-Java,0.58
2125,business applications support,Domain Skill,Beginner, Business Analyst II,0.59
2126,business architecture,Domain Skill,Beginner,"Group Systems Architect,  Sr Architect, Business,  International IT Operations Analyst 2597~,  Product Manager – Risk Capabilities",0.6
2127,business benefit development,Domain Skill,Intermediate,Business Analyst II,0.57
2128,business capabilities analysis,Domain Skill,Beginner,Solution Architect,0.44
2129,business case analysis,Domain Skill,Intermediate, Business Analyst,0.45
2130,business case development,Domain Skill,Intermediate,"Business Strategy Analyst VIE (H/F), Corporate Strategy Business Analyst,  Sr. Business Analyst - Ariba, AVP,  Data Scientist,  Senior IT Consultant, IT Claims Consultant Principal Solutions, Strategic Consultant- Travel,  Collaboration Technical Solutions Architect, Network Solutions Architect,  Finance Analyst, Marketing Finance, Program Integration Manager",0.49
2131,business case modeling,Domain Skill,Intermediate," Associate, M&A",0.52
2132,business communication,Soft Skill,Intermediate, Inside Account Executive,0.68
2133,business concepts proficiency,Domain Skill,Beginner, Sr Software Developer-Java,0.57
2134,business consulting,Domain Skill,Intermediate," Health Systems Engineer,  Business Consultant / Business Efficiency,  Sales Solution Specialist, Workplace Analytics, Learning Architect",0.58
2135,business consulting,Domain Skill,Beginner," Health Systems Engineer,  Business Consultant / Business Efficiency,  Sales Solution Specialist, Workplace Analytics, Learning Architect",0.55
2136,business continuation planning,Domain Skill,Intermediate,Data Solutions Designer (App Sys Eng 6),0.49
2137,business continuity,Domain Skill,Beginner, Systems Administrator,0.42
2138,business continuity plan (bcp),Domain Skill,Intermediate,Database Administrator II,0.43
2139,business continuity planning,Domain Skill,Intermediate," HBO Business Continuity Analyst,  Information Security Analyst - Risk and Resiliency- Austin, TX, Database Administrator - Houston, TX, Director of Information Security, IT Business Operations Consultant",0.58
2140,business continuity planning,Domain Skill,Beginner," HBO Business Continuity Analyst,  Information Security Analyst - Risk and Resiliency- Austin, TX, Database Administrator - Houston, TX, Director of Information Security, IT Business Operations Consultant",0.56
2141,business continuity processes,Domain Skill,Beginner, Global Security Operations Center Analyst,0.41
2142,business control center,Domain Skill,Intermediate,Product Owner,0.56
2143,business dashboards,Domain Skill,Intermediate," Data Protection Business Analyst, Info Protection & Gov, WW DSS",0.4
2144,business data dictionary,Domain Skill,Beginner, Business Data Architect,0.46
2145,business data research,Domain Skill,Intermediate,"Business Analyst ∞ (Maplewood, MN)",0.47
2146,business data synthesis,Domain Skill,Intermediate," VP, Technology",0.49
2147,business development,Domain Skill,Beginner," Head of US office, Inside Sales Territory Representative, Consulting Systems Engineer - Data Center (Minneapolis, MN), Business Development Analyst, RVP Cloud Sales, District Manager - can sit in Detroit MI, Cleveland or Columbus OH, Product Management Consultant - IT, Account Executive, Travel West,  Consultant, Strategy Insights & Planning Consultant, Health Ecosystems, Project Manager, Development",0.5
2148,business documents preparation,Domain Skill,Beginner,Business Analyst (Contract),0.59
2149,business domain knowledge,Domain Skill,Beginner,Epic Business Intelligence Specialist (Mgr: Baker),0.47
2150,business engagement,Domain Skill,Intermediate,Business Expert - The Domain (Full Time),0.44
2151,business environment research,Domain Skill,Intermediate,Global Strategy Competitive Analysis Analyst,0.58
2152,business experience,Domain Skill,Intermediate, Business Analyst,0.54
2153,business expertise,Domain Skill,Beginner, Educational Tour Consultant,0.44
2154,business flow conceptualization,Domain Skill,Intermediate,IT DEPUTY ADMINISTRATOR,0.48
2155,business forecasting,Domain Skill,Beginner, Business Analyst,0.53
2156,business fundamentals,Domain Skill,Intermediate," Analyst, Business Operations",0.53
2157,business glossary development,Domain Skill,Intermediate,Data Scientists Analyst,0.56
2158,business goals alignment,Domain Skill,Beginner,UX Strategist,0.59
2159,business grasp,Domain Skill,Beginner, Channel Director,0.48
2160,business impact analysis,Domain Skill,Beginner,IT Security Analyst,0.55
2161,business impact analysis (bia),Domain Skill,Beginner, HBO Business Continuity Analyst,0.41
2162,business impact assessment,Domain Skill,Intermediate, Disaster Recovery Analyst,0.5
2163,business impact measurement,Domain Skill,Intermediate, Advanced Statistical Modeler,0.5
2164,business information analysis,Domain Skill,Intermediate,Program Manager - Supply,0.54
2165,business information systems,Domain Skill,Beginner,Information Technology Associate Analyst,0.51
2166,business insights advanced),Domain Skill,Beginner, Cognos Developer,0.43
2167,business integration,Domain Skill,Beginner,Global Data Insight & Analytics,0.53
2168,business intelligence,Domain Skill,Intermediate," Energy Industry Technology Specialist, Vice President of Data Analytics & BI,  Health Systems Engineer,  Sr. Data Engineer,  Data & Reporting Engineer,  Quantitative Business Analyst, Trust and Safety, YouTube, Business Intelligence Analyst,  Business Analyst,  Product Analyst I, Director of Business Intelligence, Revenue Analyst, REPORTING ANALYST - REDMOND, WA, Business Intelligence Engineer, Business Intelligence Developer,  Business Intelligence Analyst,  Business Intelligence & Reporting Analyst II, Senior Business Intelligence Analyst,  Business Analyst_MDM, Master Data Business Analyst,  Senior Business Intelligence Analyst,  International Marketing Reporting Analyst, Financial Analyst (FP &A), Analytic Solutions Analyst/Senior Analyst, Business Intelligence Analyst II - Decision Support Services,  Sr. Business Analyst - Ariba, AVP, Business Intelligence Analyst, Officer, Social Media MIS Reporting Analyst,  FP&A Business Analyst-North America Crop, Analyst, Consumer Insights,  Lead Business Intelligence Data Analyst - BI Team Manager, Business Systems Analyst, Test Analyst, Business Information Systems,  Solution Architect, Cloud Solution Architect, Cloud Solution Architect - Advanced Analytics & AI, Senior Data Analyst,  Sr. Data Analyst, Technology Expert I - Data Architect, Data Warehouse/Business Intelligence, Data Architect, Senior Technical Architect,  Data Engineer, Digital Innovation - Data Engineer,  Big Data Engineer,  BI Implementation Expert,  Sr. Business Intelligence Engineer,  Sr. Analytics Consultant, Data Visualization Specialist - Consultant (Tableau or Alteryx) - San
Francisco, CA, Provider Partnerships Analyst,  Sr. Reporting and Visualization Engineer,  Business Intelligence/ETL Engineer - Lead Level Job,  Consultant - Analytics (Microsoft Power BI and Data Science),  Assistant Director, Enterprise Data Services,  IT Director – Data and Analytics, Big Data Consultant - Data Delivery,  Sr Analyst, Reporting & Analytics,  Data Warehouse/Business Intelligence Developer, Technical Recruiter - LifeScience/Pharma,  Research Data Analyst, Finance Data Engineer,  Boston Data & Analytics Business Intelligence Manager, Data Developer - Analytics/Spotfire,  Manager - Data & Analytics,  Manager, Data Analytics,  Enterprise Data Analytics BI Project Manager,  Director Digital and Data Technologies,  Senior Manager - Analytics and Data Warehousing,  SAP Basis and Database Administrator, Director, Technical Operations Strategy, Technology Manager, VP, Technology Consulting,  VP, Technology",0.55
2169,business intelligence,Domain Skill,Beginner," Energy Industry Technology Specialist, Vice President of Data Analytics & BI,  Health Systems Engineer,  Sr. Data Engineer,  Data & Reporting Engineer,  Quantitative Business Analyst, Trust and Safety, YouTube, Business Intelligence Analyst,  Business Analyst,  Product Analyst I, Director of Business Intelligence, Revenue Analyst, REPORTING ANALYST - REDMOND, WA, Business Intelligence Engineer, Business Intelligence Developer,  Business Intelligence Analyst,  Business Intelligence & Reporting Analyst II, Senior Business Intelligence Analyst,  Business Analyst_MDM, Master Data Business Analyst,  Senior Business Intelligence Analyst,  International Marketing Reporting Analyst, Financial Analyst (FP &A), Analytic Solutions Analyst/Senior Analyst, Business Intelligence Analyst II - Decision Support Services,  Sr. Business Analyst - Ariba, AVP, Business Intelligence Analyst, Officer, Social Media MIS Reporting Analyst,  FP&A Business Analyst-North America Crop, Analyst, Consumer Insights,  Lead Business Intelligence Data Analyst - BI Team Manager, Business Systems Analyst, Test Analyst, Business Information Systems,  Solution Architect, Cloud Solution Architect, Cloud Solution Architect - Advanced Analytics & AI, Senior Data Analyst,  Sr. Data Analyst, Technology Expert I - Data Architect, Data Warehouse/Business Intelligence, Data Architect, Senior Technical Architect,  Data Engineer, Digital Innovation - Data Engineer,  Big Data Engineer,  BI Implementation Expert,  Sr. Business Intelligence Engineer,  Sr. Analytics Consultant, Data Visualization Specialist - Consultant (Tableau or Alteryx) - San
Francisco, CA, Provider Partnerships Analyst,  Sr. Reporting and Visualization Engineer,  Business Intelligence/ETL Engineer - Lead Level Job,  Consultant - Analytics (Microsoft Power BI and Data Science),  Assistant Director, Enterprise Data Services,  IT Director – Data and Analytics, Big Data Consultant - Data Delivery,  Sr Analyst, Reporting & Analytics,  Data Warehouse/Business Intelligence Developer, Technical Recruiter - LifeScience/Pharma,  Research Data Analyst, Finance Data Engineer,  Boston Data & Analytics Business Intelligence Manager, Data Developer - Analytics/Spotfire,  Manager - Data & Analytics,  Manager, Data Analytics,  Enterprise Data Analytics BI Project Manager,  Director Digital and Data Technologies,  Senior Manager - Analytics and Data Warehousing,  SAP Basis and Database Administrator, Director, Technical Operations Strategy, Technology Manager, VP, Technology Consulting,  VP, Technology",0.41
2170,business intelligence (bi),Domain Skill,Beginner," Junior Business Analyst, Business Intelligence Analyst,  Business Intelligence Analyst, External Relations,  Director of Business Intelligence, Business Data and Integration Architect (ITS5)",0.53
2171,business intelligence (bi),Domain Skill,Beginner," Junior Business Analyst, Business Intelligence Analyst,  Business Intelligence Analyst, External Relations,  Director of Business Intelligence, Business Data and Integration Architect (ITS5)",0.5
2172,business intelligence (bi) analysis,Domain Skill,Intermediate, Business Intelligence Analyst,0.48
2173,business intelligence (bi) dashboards,Domain Skill,Beginner,Business Intelligence Analyst II,0.6
2174,business intelligence (bi) platform management,Soft Skill,Beginner, Senior Business Intelligence Engineer,0.65
2175,business intelligence (bi) solutions,Domain Skill,Beginner,"Epic Business Intelligence Specialist (Mgr: Baker),  Central Procurement Office Data Analyst",0.58
2176,business intelligence (bi) solutions,Domain Skill,Beginner,"Epic Business Intelligence Specialist (Mgr: Baker),  Central Procurement Office Data Analyst",0.57
2177,business intelligence analysis,Domain Skill,Beginner,Business Analyst/QA,0.44
2178,business intelligence analytics,Domain Skill,Intermediate, EPM Architect,0.46
2179,business intelligence and analytics (bia),Domain Skill,Intermediate,Data Architect & ETL Manager,0.57
2180,business intelligence applications administration,Domain Skill,Intermediate,Business Intelligence Analyst II,0.58
2181,business intelligence concepts,Domain Skill,Beginner,Modern Data Platform Architect,0.58
2182,business intelligence data warehouses,Domain Skill,Beginner, Pricing Strategist,0.45
2183,business intelligence designs,Domain Skill,Intermediate,Business Systems Analyst,0.54
2184,business intelligence ecosystems,Domain Skill,Intermediate," Sr. Manufacturing Business Intelligence/FP&A Analyst, Finance",0.44
2185,business intelligence knowledge,Domain Skill,Beginner," Sr. Analyst, BI & Analytics",0.46
2186,business intelligence platform development,Domain Skill,Intermediate, Principal Business Intelligence Data Architect,0.5
2187,business intelligence platforms,Domain Skill,Intermediate," Data Analyst,  Media Analyst - Gain Theory,  Marketing Data Analyst",0.42
2188,business intelligence report writing,Domain Skill,Intermediate,Developer Analyst 3 Emerging,0.5
2189,business intelligence reporting,Domain Skill,Intermediate,"Senior IT Business Analyst - Human Resources,  Sr. Business Intelligence Analyst, Sr. Business Intelligence Analyst, Business Data Analyst,  Improvement Data Analyst, Analytic Consultant 3 - Wholesale Customer Excellence Business Intelligence
Reporting, Data Integration Analyst,  Secondary Marketing Analytics Manager",0.53
2190,business intelligence reporting,Domain Skill,Intermediate,"Senior IT Business Analyst - Human Resources,  Sr. Business Intelligence Analyst, Sr. Business Intelligence Analyst, Business Data Analyst,  Improvement Data Analyst, Analytic Consultant 3 - Wholesale Customer Excellence Business Intelligence
Reporting, Data Integration Analyst,  Secondary Marketing Analytics Manager",0.44
2191,business intelligence reporting tools (e.g.,Domain Skill,Beginner, Boston Data & Analytics Business Intelligence Manager,0.44
2192,business intelligence reporting tools (qlik,Domain Skill,Intermediate,Sr. Database Administrator,0.41
2193,business intelligence services,Domain Skill,Intermediate, EPM Architect,0.59
2194,business intelligence software,Domain Skill,Intermediate, Product Analyst,0.51
2195,business intelligence software (tableau),Hard Skill,Expert," Consultant, Data Scientist",0.61
2196,business intelligence solutions,Domain Skill,Intermediate,"Business Information Analyst,  BI/Data Warehouse Systems Analyst,  Data Analyst",0.55
2197,business intelligence solutions delivery,Domain Skill,Intermediate,Senior BI Data Analyst,0.43
2198,business intelligence solutions development,Domain Skill,Beginner,"Business Systems Analyst,  Senior Business Intelligence Analyst",0.46
2199,business intelligence solutions development,Domain Skill,Intermediate,"Business Systems Analyst,  Senior Business Intelligence Analyst",0.54
2200,business intelligence systems,Domain Skill,Intermediate,"Logistics Analyst, Informatica ETL Developer,  Data Warehouse Analyst",0.43
2201,business intelligence tools,Domain Skill,Beginner," Business Analyst, Business Analyst - Product Segment,  Business Intelligence Analyst 3 - Customer Data, Business Intelligence Analyst,  Business Intelligence (BI) Analyst- Operations and Customer Experience,  Sr. Analyst, Business Analytics,  Business Analyst BI,  Business Systems Analyst,  Business Solutions Analyst / Manager, Analyst, Data Informatics 2, Data Analytics Analyst, Data Analyst IV, Data Solutions Architect, BIS - Data Architect - Regional Locations (Dewitt, Oneonta, Canton, Olean,
Jermyn or Burlington), Local Analytics Manager - Phoenix,  Senior Database Developer, Analytic Consultant 3, Senior Quality Assurance Analyst, Data Analytics Manager - DI &A Audit Team,  Analyst/Senior Analyst/Manager - Business Analytics (E),  Manager Enterprise Data Architecture,  Associate, Global Payment Analytics",0.53
2202,business intelligence tools,Domain Skill,Intermediate," Business Analyst, Business Analyst - Product Segment,  Business Intelligence Analyst 3 - Customer Data, Business Intelligence Analyst,  Business Intelligence (BI) Analyst- Operations and Customer Experience,  Sr. Analyst, Business Analytics,  Business Analyst BI,  Business Systems Analyst,  Business Solutions Analyst / Manager, Analyst, Data Informatics 2, Data Analytics Analyst, Data Analyst IV, Data Solutions Architect, BIS - Data Architect - Regional Locations (Dewitt, Oneonta, Canton, Olean,
Jermyn or Burlington), Local Analytics Manager - Phoenix,  Senior Database Developer, Analytic Consultant 3, Senior Quality Assurance Analyst, Data Analytics Manager - DI &A Audit Team,  Analyst/Senior Analyst/Manager - Business Analytics (E),  Manager Enterprise Data Architecture,  Associate, Global Payment Analytics",0.53
2203,business intelligence tools (business objects,Domain Skill,Beginner," ITS Business Intelligence and Analytics Engineer,  Senior Data Engineer",0.4
2204,business intelligence tools (cognos,Domain Skill,Intermediate,Manager Data Analytics & Reporting,0.4
2205,business intelligence tools (cognos data manager,Domain Skill,Beginner, ETL Developer II (S00768P),0.49
2206,business intelligence tools (cognos),Domain Skill,Beginner,Data Architect III,0.41
2207,business intelligence tools (e.g.,Domain Skill,Beginner," Business Systems Analyst 2, Business Data Analyst,  Local Analytics Manager - Detroit",0.59
2208,business intelligence tools (looker,Domain Skill,Intermediate, Data Analyst - Finance,0.46
2209,business intelligence tools (r,Domain Skill,Intermediate,Business Intelligence Analyst,0.52
2210,business intelligence tools (tableau,Hard Skill,Intermediate," Analytics Engineer, Business Operations Analyst,  Data Analyst,  Price Strategist, Customer Support",0.8
2211,business intelligence/analytics,Domain Skill,Beginner,"Technical Solutions Architect (Minneapolis, MN),  Director, Analytics & Data Operations, Consultant, People Analytics",0.43
2212,business intelligence/analytics,Domain Skill,Intermediate,"Technical Solutions Architect (Minneapolis, MN),  Director, Analytics & Data Operations, Consultant, People Analytics",0.41
2213,business intelligence/analytics projects management,Soft Skill,Intermediate,Analytics Project Manager (SSS III) - Information Services,0.75
2214,business journalism,Domain Skill,Beginner," Reporter, WSJ Pro Artificial Intelligence",0.44
2215,business judgment,Domain Skill,Intermediate, Business Analyst Manager,0.55
2216,business knowledge,Domain Skill,Intermediate," Business Analyst 1 - BA, Data Warehouse/Analytics Architect-Houston Location, Data Analyst Lead - Greenplum Administrator",0.49
2217,business metadata,Domain Skill,Beginner, Business Analyst_MDM,0.47
2218,business metrics tracking,Domain Skill,Intermediate,Program Manager - Supply,0.45
2219,business model development,Domain Skill,Beginner, Attorney,0.59
2220,business modeling,Domain Skill,Intermediate," Business Analyst 2571, Business Strategy Analyst VIE (H/F)",0.54
2221,business objects,Domain Skill,Beginner," Business Intelligence Analyst, Business Intelligence Analyst, Cerner Reporting Analyst, Customer Data Analyst, Big Data Solutions Architect (Central Region), Data Science Engineer,  Sr. Reporting and Visualization Engineer,  IT Director – Data and Analytics,  Data Analyst - Finance,  Senior Manager, Data Analytics & Reporting",0.52
2222,business objects data universes,Domain Skill,Beginner, Business Systems Analyst Specialist,0.53
2223,business objects enterprise portfolio of products,Domain Skill,Intermediate,Sr Data Analyst,0.51
2224,business objects or crystal reports,Domain Skill,Intermediate,Invoice Processing/Data Analyst,0.58
2225,business objects universe & web intelligence,Domain Skill,Beginner, Sr. Data Engineer,0.42
2226,business objects xi,Domain Skill,Intermediate, Business Systems Analyst Specialist,0.51
2227,business objects),Domain Skill,Beginner," Business Analyst, Enterprise Analytics - Data Scientist, Financial Planning Business Partner III (Technical Operations)",0.56
2228,business operations,Domain Skill,Intermediate,"Customer Data Analyst,  Deputy Chief Information Officer - Data and Information Management",0.54
2229,business operations analysis,Domain Skill,Beginner, Associate EHR Application Analyst - EHR Access & Revenue,0.52
2230,business operations management,Soft Skill,Beginner,"Director, Global Merchant Data",0.62
2231,business operations optimization,Domain Skill,Beginner, Business Systems Analyst,0.54
2232,business optimization,Domain Skill,Beginner," Data Analyst, JetSuite X",0.44
2233,business optimization projects,Domain Skill,Intermediate," Business Intelligence Analyst, Sr., Business Intelligence Financial Analyst, Sr.",0.54
2234,business partnerships development,Domain Skill,Intermediate, Sr Software Developer-Java,0.51
2235,business performance analysis,Domain Skill,Intermediate,Project Manager -Reporting & Analytics,0.5
2236,business performance analyst,Domain Skill,Beginner," On Campus - Entry Level Global Connected Consumer Experience -
Undergraduate TRACK",0.52
2237,business performance measurement,Domain Skill,Intermediate, Business Process Analyst,0.4
2238,business performance monitoring,Domain Skill,Beginner, Business Analyst,0.53
2239,business plan development,Domain Skill,Beginner," Business Intelligence Analyst, Sr., Business Intelligence Financial Analyst, Sr.",0.49
2240,business plan development,Domain Skill,Intermediate," Business Intelligence Analyst, Sr., Business Intelligence Financial Analyst, Sr.",0.42
2241,business planning,Domain Skill,Intermediate,"District Manager - can sit in Detroit MI, Cleveland or Columbus OH,  Planning Analyst",0.59
2242,business process analysis,Domain Skill,Intermediate," Analyst, Business,  Business Analyst,  Junior Business Analyst, business analyst, Financial Business Information Analyst, Data Warehouse/Business Intelligence, Implementation Consultant - HCM, IT Business Consultant",0.42
2243,business process analysis,Domain Skill,Beginner," Analyst, Business,  Business Analyst,  Junior Business Analyst, business analyst, Financial Business Information Analyst, Data Warehouse/Business Intelligence, Implementation Consultant - HCM, IT Business Consultant",0.57
2244,business process analysis requirement gathering data analysis communication skills,Hard Skill,Beginner,Business Analyst,0.65
2245,business process configuration,Domain Skill,Intermediate, Business Analyst,0.4
2246,business process design,Domain Skill,Intermediate,Business Systems Analyst,0.4
2247,business process design/re-engineering,Domain Skill,Intermediate,Oracle Cloud Financials Solutions Architect,0.44
